,wavelength,tap,head
167,477.0,1.42638021e-06,1.97704812e-05
168,478.0,1.43315526e-06,1.96313722e-05
169,479.0,1.44306966e-06,1.95828907e-05
170,480.0,1.38393864e-06,1.94947388e-05
171,481.0,1.44492083e-06,1.96905021e-05
172,482.0,1.38253085e-06,1.94600671e-05
173,483.0,1.3825744e-06,1.96109486e-05
174,484.0,1.39462577e-06,1.93775904e-05
175,485.0,1.3434244e-06,1.903673e-05
176,486.0,1.34141089e-06,1.88991507e-05
177,487.0,1.38226665e-06,1.91859199e-05
178,488.0,1.38271059e-06,1.92110801e-05
179,489.0,1.35055393e-06,1.92298976e-05
180,490.0,1.3145841e-06,1.90354094e-05
181,491.0,1.34245886e-06,1.9196561e-05
182,492.0,1.31224135e-06,1.91255822e-05
183,493.0,1.32951197e-06,1.92678363e-05
184,494.0,1.31817364e-06,1.90248538e-05
185,495.0,1.33763479e-06,1.89402235e-05
186,496.0,1.29425257e-06,1.87029527e-05
187,497.0,1.30881153e-06,1.8438197e-05
188,498.0,1.28865656e-06,1.85227964e-05
189,499.0,1.24105281e-06,1.81457017e-05
190,500.0,1.21764151e-06,1.79337894e-05
191,501.0,1.2496115e-06,1.7922157e-05
192,502.0,1.20286552e-06,1.76830999e-05
193,503.0,1.24012593e-06,1.77737638e-05
194,504.0,1.17565401e-06,1.75145997e-05
195,505.0,1.1866963e-06,1.74538472e-05
196,506.0,1.20511413e-06,1.73986682e-05
197,507.0,1.15840908e-06,1.72902819e-05
198,508.0,1.19324829e-06,1.74248344e-05
199,509.0,1.179229e-06,1.75009936e-05
200,510.0,1.15108082e-06,1.74142679e-05
201,511.0,1.13882584e-06,1.74332326e-05
202,512.0,1.13722706e-06,1.74022498e-05
203,513.0,1.14915815e-06,1.73566659e-05
204,514.0,1.17644493e-06,1.73645076e-05
205,515.0,1.17157435e-06,1.7382823e-05
206,516.0,1.15249986e-06,1.7231634e-05
207,517.0,1.16137937e-06,1.73649223e-05
208,518.0,1.18250375e-06,1.74356192e-05
209,519.0,1.14683587e-06,1.71875308e-05
210,520.0,1.14212514e-06,1.74159304e-05
211,521.0,1.14446982e-06,1.73278895e-05
212,522.0,1.14480179e-06,1.71850643e-05
213,523.0,1.14813361e-06,1.72171895e-05
214,524.0,1.16809247e-06,1.73329172e-05
215,525.0,1.15373905e-06,1.73982862e-05
216,526.0,1.12274063e-06,1.70903841e-05
217,527.0,1.15434648e-06,1.70913627e-05
218,528.0,1.16411638e-06,1.72487216e-05
219,529.0,1.13459203e-06,1.70587009e-05
220,530.0,1.12125076e-06,1.69077339e-05
221,531.0,1.14932641e-06,1.70844742e-05
222,532.0,1.1252996e-06,1.7085511e-05
223,533.0,1.08035783e-06,1.68386741e-05
224,534.0,1.08699896e-06,1.69442937e-05
225,535.0,1.11596898e-06,1.70071144e-05
226,536.0,1.06980383e-06,1.6833912e-05
227,537.0,1.1112212e-06,1.69102641e-05
228,538.0,1.10858218e-06,1.68083498e-05
229,539.0,1.10962276e-06,1.67399758e-05
230,540.0,1.09726466e-06,1.68020943e-05
231,541.0,1.11416387e-06,1.68467286e-05
232,542.0,1.12295197e-06,1.67737835e-05
233,543.0,1.10883923e-06,1.67457747e-05
234,544.0,1.09768189e-06,1.6774291e-05
235,545.0,1.06821631e-06,1.66737009e-05
236,546.0,1.09143502e-06,1.68586394e-05
237,547.0,1.05018e-06,1.64627854e-05
238,548.0,1.1044209e-06,1.67324251e-05
239,549.0,1.08803135e-06,1.66423724e-05
240,550.0,1.05520928e-06,1.64783287e-05
241,551.0,1.06314519e-06,1.64792364e-05
242,552.0,1.07006258e-06,1.64914363e-05
243,553.0,1.09334883e-06,1.66440659e-05
244,554.0,1.04473349e-06,1.63392033e-05
245,555.0,1.06852781e-06,1.64456851e-05
246,556.0,1.05121092e-06,1.63691711e-05
247,557.0,1.06053744e-06,1.63784607e-05
248,558.0,1.04988567e-06,1.62619654e-05
249,559.0,1.05238655e-06,1.64290577e-05
250,560.0,1.05230799e-06,1.62736033e-05
251,561.0,1.03139143e-06,1.62445776e-05
252,562.0,1.01890237e-06,1.59689407e-05
253,563.0,1.04508274e-06,1.6064756e-05
254,564.0,1.03434866e-06,1.61816406e-05
255,565.0,9.96329618e-07,1.5917547e-05
256,566.0,1.0080505e-06,1.57598333e-05
257,567.0,1.01186936e-06,1.58713265e-05
258,568.0,1.00593115e-06,1.5806876e-05
259,569.0,9.99413601e-07,1.57573559e-05
260,570.0,1.0089218e-06,1.57107006e-05
261,571.0,9.98536166e-07,1.57715385e-05
262,572.0,9.97207167e-07,1.56403366e-05
263,573.0,9.84845087e-07,1.56719125e-05
264,574.0,1.00047225e-06,1.56389615e-05
265,575.0,9.72892849e-07,1.55839989e-05
266,576.0,9.92985747e-07,1.55394682e-05
267,577.0,9.59911972e-07,1.5481879e-05
268,578.0,9.63173648e-07,1.5305839e-05
269,579.0,9.7883742e-07,1.54911468e-05
270,580.0,9.70615361e-07,1.53305882e-05
271,581.0,9.73784267e-07,1.52765497e-05
272,582.0,9.6296958e-07,1.52367829e-05
273,583.0,9.47235378e-07,1.53224755e-05
274,584.0,9.40761879e-07,1.52297644e-05
275,585.0,9.69119242e-07,1.53694909e-05
276,586.0,9.28030659e-07,1.52518014e-05
277,587.0,9.49746777e-07,1.52601806e-05
278,588.0,9.38453468e-07,1.49337411e-05
279,589.0,9.0921759e-07,1.4990037e-05
280,590.0,9.44105352e-07,1.51470758e-05
281,591.0,9.06319201e-07,1.48821691e-05
282,592.0,9.23580103e-07,1.48221307e-05
283,593.0,9.06529806e-07,1.47938463e-05
284,594.0,9.0414494e-07,1.47966502e-05
285,595.0,9.02775014e-07,1.45582007e-05
286,596.0,8.77384934e-07,1.4433107e-05
287,597.0,8.76650972e-07,1.44200058e-05
288,598.0,8.80670143e-07,1.43273492e-05
289,599.0,8.33127615e-07,1.42269828e-05
290,600.0,8.43871305e-07,1.40631837e-05
291,601.0,8.42932081e-07,1.38364903e-05
292,602.0,8.65672746e-07,1.40459988e-05
293,603.0,8.26758537e-07,1.37640382e-05
294,604.0,8.50408242e-07,1.37603292e-05
295,605.0,8.26119276e-07,1.36965809e-05
296,606.0,8.25722736e-07,1.36948993e-05
297,607.0,8.15270369e-07,1.35660657e-05
298,608.0,8.34729917e-07,1.35154487e-05
299,609.0,8.16257341e-07,1.35660666e-05
300,610.0,7.93566073e-07,1.34427328e-05
301,611.0,8.07534661e-07,1.33614476e-05
302,612.0,8.24749691e-07,1.3505567e-05
303,613.0,8.08637481e-07,1.35388191e-05
304,614.0,7.81954725e-07,1.33390222e-05
305,615.0,8.04992681e-07,1.33901649e-05
306,616.0,7.96102256e-07,1.34658476e-05
307,617.0,8.00897567e-07,1.33540871e-05
308,618.0,7.95489825e-07,1.34052707e-05
309,619.0,8.01861177e-07,1.34766278e-05
310,620.0,7.95983851e-07,1.33486374e-05
311,621.0,7.77793502e-07,1.33465946e-05
312,622.0,7.87310853e-07,1.3266761e-05
313,623.0,7.87904526e-07,1.32016721e-05
314,624.0,7.91753109e-07,1.32528385e-05
315,625.0,7.73650356e-07,1.30409908e-05
316,626.0,7.62821116e-07,1.2943271e-05
317,627.0,7.50222682e-07,1.28238216e-05
318,628.0,7.58930241e-07,1.28491711e-05
319,629.0,7.53346058e-07,1.27160492e-05
320,630.0,7.36449067e-07,1.25745464e-05
321,631.0,7.32822343e-07,1.25352253e-05
322,632.0,7.18318176e-07,1.23385489e-05
323,633.0,7.22432617e-07,1.2247604e-05
324,634.0,7.15870158e-07,1.22297643e-05
325,635.0,7.01945851e-07,1.21266658e-05
326,636.0,7.0094859e-07,1.1932314e-05
327,637.0,6.80437495e-07,1.17580821e-05
